"","num_ID","word1","word2","word3","answer","rt"
"112","179","PITY","LOVE","WANT","PITY",3731
"113","179","EQUAL","PLUS","EQUAL","PLUS",3162
"114","179","ANXIETY","FEAR","ENVY","ENVY",1953
"115","179","ANXIETY","SHAME","GREEN","GREEN",2755
"116","179","GRIEF","DESIRE","SPICY","SPICY",2257
"117","179","ANGER","GREEN","UNRIPE","ANGER",3096
"118","179","TASTE","SPICY","TASTY","SPICY",2508
"119","179","RED","BLUE","RIPE","RIPE",2507
"120","179","GRIEF","ANXIETY","ORANGE","ORANGE",2628
"121","179","SALT","COOKED","MERRY","MERRY",2390
"122","179","PLUS","MINUS","MINUS","PLUS",1846
"123","179","BRIGHT","UNRIPE","TASTY","UNRIPE",4595
"124","179","SOUR","FEAR","BAD","SOUR",3143
"125","179","DARK","MERRY","TASTY","DARK",6897
"126","179","HATE","JOY","REGRET","REGRET",7883
"127","179","BROWN","WORRY","TASTY","TASTY",5238
"128","179","LOVE","COOKED","UNRIPE","UNRIPE",4194
"129","179","HATE","BROWN","SWEET","HATE",3001
"130","179","RAW","FRESH","ENVY","ENVY",2658
"131","179","ANXIETY","WORRY","JOY","JOY",1743
"132","179","PROUD","WHITE","BAD","BAD",7198
"133","179","PROUD","RIPE","BAD","BAD",4218
"134","179","YELLOW","BLACK","LIKE","LIKE",4502
"135","214","FEAR","MERRY","GREY","GREY",3588
"136","214","WHITE","PURPLE","UNRIPE","UNRIPE",1620
"137","214","COOKED","HOPE","UNRIPE","HOPE",2077
"138","214","HATE","BROWN","HAPPY","BROWN",3085
"139","214","SOUR","COOKED","REGRET","REGRET",1893
"140","214","WHITE","FEAR","MERRY","WHITE",2037
"141","214","SALTY","UNRIPE","ENVY","ENVY",2177
"142","214","GOOD","FRESH","JOY","JOY",5743
"143","214","YELLOW","FEAR","BAD","YELLOW",2360
"144","214","SALT","RED","HATE","SALT",3888
"145","214","GRIEF","HOPE","BITTER","BITTER",6995
"146","214","ANGER","GREEN","BITTER","GREEN",2086
"147","214","SHAME","JOY","BITTER","SHAME",4199
"148","214","PURPLE","DESIRE","ENVY","PURPLE",14623
"149","214","BLUE","JOY","SURPRISED","BLUE",10537
