"","num_ID","word1","word2","word3","answer","rt"
"0","63","GRIEF","FRESH","BRIGHT","GRIEF",6072
"1","63","LIGHT","PURPLE","JOY","PURPLE",6285
"2","63","BLUE","WHITE","ORANGE","WHITE",7916
"3","63","ANXIETY","WANT","SURPRISED","ANXIETY",5328
"4","63","LIGHT","REGRET","ENVY","LIGHT",7410
"5","63","GRIEF","COOKED","REGRET","COOKED",4557
"6","63","PLUS","MINUS","MINUS","PLUS",10835
"7","63","SALT","WORRY","DESIRE","SALT",4543
"8","63","EQUAL","EQUAL","PLUS","PLUS",5164
"9","63","FRESH","SHAME","ENVY","FRESH",5925
"10","63","YELLOW","RIPE","WHITE","RIPE",6914
"11","63","PITY","WORRY","SHAME","WORRY",7252
"12","63","PURPLE","PITY","LIKE","PURPLE",4475
"13","63","SALT","RIPE","HOPE","SALT",8526
"14","63","YELLOW","HATE","TASTE","YELLOW",6930
"15","63","GRIEF","TASTE","GREY","GREY",13387
"16","63","PURPLE","SHAME","FEAR","PURPLE",2352
"17","63","FEAR","HAPPY","REGRET","HAPPY",3274
"18","63","BAD","SPICY","SURPRISED","SPICY",6432
"19","63","BRIGHT","HAPPY","ORANGE","ORANGE",3868
"20","63","GLOOMY","BRIGHT","BAD","BRIGHT",2228
"21","63","RED","ANXIETY","SALTY","RED",5397
"22","63","LIKE","DARK","SPICY","LIKE",7054
"23","63","SALTY","REGRET","SPICY","REGRET",3697
"24","63","GRIEF","GLOOMY","BROWN","BROWN",2307
"25","63","BLUE","GREEN","ENVY","ENVY",2419
"26","63","BLUE","SALTY","LOVE","SALTY",2779
"27","121","FEAR","MERRY","GREY","MERRY",2838
"28","121","WHITE","PURPLE","UNRIPE","UNRIPE",2638
"29","121","COOKED","HOPE","UNRIPE","HOPE",3551
"30","121","HATE","BROWN","HAPPY","BROWN",2857
"31","121","SOUR","COOKED","REGRET","REGRET",3584
"32","121","WHITE","FEAR","MERRY","WHITE",3601
"33","121","SALTY","UNRIPE","ENVY","ENVY",3738
"34","121","GOOD","FRESH","JOY","FRESH",6616
"35","121","YELLOW","FEAR","BAD","YELLOW",3439
"36","121","SALT","RED","HATE","SALT",5709
"37","121","GRIEF","HOPE","BITTER","HOPE",5342
"38","121","ANGER","GREEN","BITTER","GREEN",4925
"39","121","SHAME","JOY","BITTER","JOY",4620
"40","121","PURPLE","DESIRE","ENVY","PURPLE",3689
"41","121","BLUE","JOY","SURPRISED","BLUE",1830
"42","121","GLOOMY","MERRY","SWEET","GLOOMY",5809
"43","121","MINUS","MINUS","PLUS","PLUS",2695
"44","121","GLOOMY","BRIGHT","UNRIPE","UNRIPE",6221
"45","121","HATE","BRIGHT","GREEN","GREEN",6609
"46","121","RED","RIPE","BITTER","RED",4303
"47","121","RED","RIPE","LIGHT","RED",9414
"48","121","EQUAL","PLUS","EQUAL","PLUS",2659
"49","121","ANXIETY","SHAME","ORANGE","ORANGE",3393
"50","121","LIGHT","FRESH","HOPE","LIGHT",9067
"51","121","GLOOMY","BROWN","BRIGHT","BROWN",3939
"52","121","SALTY","SHAME","MERRY","MERRY",5437
"53","121","WHITE","SHAME","WANT","WHITE",6301
"54","94","LOVE","BRIGHT","WANT","BRIGHT",9040
"55","94","FRESH","PURPLE","BLACK","FRESH",3430
"56","94","ANGER","SAD","BROWN","BROWN",3845
"57","94","PROUD","SAD","PITY","PROUD",4055
"58","94","BROWN","FEAR","TASTY","BROWN",8712
"59","94","SALTY","JOY","ROTTEN","JOY",49592
"60","94","COOKED","SURPRISED","GREY","COOKED",29595
"61","94","MINUS","PLUS","MINUS","PLUS",1936
"62","94","EQUAL","PLUS","EQUAL","PLUS",3721
"63","94","PITY","SHAME","REGRET","SHAME",12382
"64","94","HAPPY","ORANGE","GREY","HAPPY",3456
"65","94","RIPE","WORRY","SPICY","WORRY",38069
"66","94","RIPE","BLACK","ROTTEN","RIPE",25477
"67","94","ANXIETY","HOPE","SPICY","HOPE",12627
"68","94","GLOOMY","PITY","BRIGHT","BRIGHT",7876
"69","94","LIGHT","WANT","FEAR","LIGHT",9906
"70","94","WHITE","FRESH","SHAME","SHAME",9464
"71","94","RED","UNRIPE","SPICY","UNRIPE",11214
"72","94","SALTY","BRIGHT","COOKED","BRIGHT",11610
"73","94","BROWN","UNRIPE","BAD","BROWN",13170
"74","94","PURPLE","SOUR","HOPE","HOPE",6820
"75","94","WHITE","REGRET","BAD","WHITE",6387
"76","94","GLOOMY","WORRY","TASTE","TASTE",2433
"77","94","WANT","SWEET","TASTY","WANT",5294
"78","94","RAW","DARK","GREY","GREY",4398
"79","94","RAW","SOUR","ORANGE","ORANGE",4848
"80","94","WANT","JOY","SPICY","SPICY",3514
"81","171","YELLOW","WHITE","REGRET","REGRET",4365
"82","171","YELLOW","FRESH","WORRY","YELLOW",9709
"83","171","ANXIETY","WORRY","GREY","GREY",3310
"84","171","EQUAL","EQUAL","PLUS","PLUS",4089
"85","171","BITTER","ROTTEN","ENVY","ENVY",8071
"86","171","FRESH","BLACK","PITY","BLACK",5950
"87","171","MINUS","MINUS","PLUS","PLUS",3062
"88","171","COOKED","MERRY","UNRIPE","MERRY",8680
"89","171","SAD","WORRY","UNRIPE","UNRIPE",4149
"90","171","GRIEF","BITTER","TASTE","GRIEF",6903
"91","171","HATE","HOPE","BAD","BAD",7622
"92","171","SAD","SALTY","LOVE","SALTY",5324
"93","171","PROUD","RED","LIGHT","PROUD",8241
"94","171","GLOOMY","SALTY","DESIRE","SALTY",5101
"95","171","PURPLE","SHAME","COOKED","COOKED",26157
"96","171","ANGER","BROWN","BRIGHT","ANGER",7898
"97","171","YELLOW","RED","ORANGE","ORANGE",8682
"98","171","BLUE","COOKED","BAD","BLUE",11703
"99","171","GLOOMY","GOOD","JOY","GLOOMY",8732
"100","171","PROUD","BROWN","FEAR","BROWN",12631
"101","171","RED","ANXIETY","SAD","RED",7507
"102","171","SALTY","DARK","UNRIPE","UNRIPE",11768
"103","171","SALT","SOUR","HOPE","HOPE",10928
"104","171","ORANGE","REGRET","SPICY","REGRET",6330
"105","171","WHITE","PITY","SWEET","WHITE",7922
"106","171","GOOD","SAD","ROTTEN","ROTTEN",6326
"107","171","BLUE","SAD","SWEET","BLUE",15686
"108","220","DARK","HOPE","SWEET","DARK",2384
"109","220","PITY","BRIGHT","FEAR","BRIGHT",2481
"110","220","WHITE","GLOOMY","BITTER","WHITE",2372
"111","220","WHITE","GOOD","SPICY","SPICY",3058
"112","220","WHITE","SOUR","BAD","WHITE",1739
"113","220","RED","PURPLE","TASTE","TASTE",2591
"114","220","GRIEF","RAW","SOUR","SOUR",2512
"115","220","SALTY","LIKE","BAD","BAD",3512
"116","220","EQUAL","EQUAL","PLUS","PLUS",1751
"117","220","RIPE","PITY","HOPE","PITY",4175
"118","220","GOOD","SHAME","GREY","SHAME",2305
"119","220","MINUS","MINUS","PLUS","PLUS",1625
"120","220","PITY","HAPPY","BAD","HAPPY",1902
"121","220","LIGHT","BROWN","FEAR","FEAR",2200
"122","220","BROWN","LIKE","SURPRISED","BROWN",2690
"123","220","SAD","WORRY","TASTE","TASTE",1540
"124","220","RED","BITTER","SPICY","RED",1224
"125","220","LIGHT","PITY","BAD","LIGHT",3026
"126","220","WORRY","ROTTEN","TASTY","WORRY",1851
"127","220","GRIEF","UNRIPE","BAD","UNRIPE",1844
"128","220","SALT","SURPRISED","SWEET","SURPRISED",1693
"129","220","BROWN","BLACK","TASTY","TASTY",1554
"130","220","FEAR","DESIRE","ROTTEN","DESIRE",3157
"131","220","FRESH","UNRIPE","SWEET","SWEET",2400
"132","220","SAD","SALTY","BRIGHT","BRIGHT",2506
"133","220","PROUD","COOKED","BAD","PROUD",2794
"134","220","ANGER","GREEN","TASTY","ANGER",2378
"162","108","SOUR","FEAR","GREEN","GREEN",6572
"163","108","PITY","TASTE","ENVY","TASTE",3372
"164","108","FRESH","HAPPY","UNRIPE","HAPPY",9278
"165","108","GLOOMY","SHAME","DARK","SHAME",1648
"166","108","EQUAL","EQUAL","PLUS","PLUS",1768
"167","108","PROUD","SALTY","TASTY","PROUD",3263
"168","108","BLACK","LOVE","ORANGE","LOVE",2022
"169","108","RAW","DARK","ORANGE","RAW",6816
"170","108","GOOD","LIKE","TASTY","TASTY",1866
"171","108","SOUR","HOPE","SPICY","HOPE",1825
"172","108","REGRET","SURPRISED","SWEET","SWEET",2783
"173","108","RIPE","WANT","DESIRE","RIPE",2835
"174","108","RED","BLACK","PITY","PITY",1572
"175","108","JOY","DARK","BAD","DARK",2718
"176","108","GRIEF","BITTER","DESIRE","BITTER",9318
"177","108","YELLOW","PURPLE","WANT","WANT",1191
"178","108","RED","JOY","BITTER","RED",2818
