ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,dataset_ID,author,url,typedby,checkedby,notes,Subfamily,Dialect,Source,Chinese_name,Population,SubGroup,time_frame,Type,Coverage,Date,Transcriber,Region,Culture,Description,Orthography,Comment
Xiamen,Xiamen,xiam1236,,,Eurasia,24.49421,118.08918,Sino-Tibetan,beidasinitic,,,,,,,,,,,,,,,,,,,,,
Chaozhou,Chaozhou,chao1238,,,Eurasia,23.666667,116.633333,Sino-Tibetan,beidasinitic,,,,,,,,,,,,,,,,,,,,,
Fuzhou,Fuzhou,fuzh1239,,,Eurasia,26.08904,119.294243,Sino-Tibetan,beidasinitic,,,,,,,,,,,,,,,,,,,,,
Hefei,Hefei,hefe1234,,,,31.873593,117.223663,Sino-Tibetan,beidasinitic,,,,,,,,,,,,,,,,,,,,,
Yangzhou,Yangzhou,yang1306,,,,32.4171449,119.209227,Sino-Tibetan,beidasinitic,,,,,,,,,,,,,,,,,,,,,
Suzhou,Suzhou,suzh1234,,,,31.3280439,120.364116,Sino-Tibetan,beidasinitic,,,,,,,,,,,,,,,,,,,,,
Jinan,Jinan,jina1245,,,,36.690777,116.997299,Sino-Tibetan,beidasinitic,,,,,,,,,,,,,,,,,,,,,
Shenyang,Shenyang,shen1252,,,,41.8049906,123.1563167,Sino-Tibetan,beidasinitic,,,,,,,,,,,,,,,,,,,,,
Xi_an,Xi_an,xian1253,,,,34.228154,108.960571,Sino-Tibetan,beidasinitic,,,,,,,,,,,,,,,,,,,,,
Beijing,Beijing,beij1234,,,,39.9385466,116.1172766,Sino-Tibetan,beidasinitic,,,,,,,,,,,,,,,,,,,,,
Chengdu,Chengdu,chen1267,,,,30.605768,103.970947,Sino-Tibetan,beidasinitic,,,,,,,,,,,,,,,,,,,,,
Kunming,Kunming,kunm1234,,,,25.049711,102.72274,Sino-Tibetan,beidasinitic,,,,,,,,,,,,,,,,,,,,,
Wenzhou,Wenzhou,ouji1238,,,Eurasia,28.005496,120.701179,Sino-Tibetan,beidasinitic,,,,,,,,,,,,,,,,,,,,,
adnyamathanha,Adnyamathanha,adny1235,Adnyamathanha,,Australia,-30.1451,138.671,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
aghutharrnggala,Aghu-Tharrnggala,aghu1254,"Aghu Tharnggalu",,Australia,-13.735,142.426,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
alyawarr,Alyawarr,alya1239,Alyawarr,,Australia,-21.0427,136.835,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
antekerrepenhe,Antekerrepenhe,ande1247,Andegerebinha,,Australia,-22.51278,137.3515,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
arabana,Arabana,arab1267,Arabana,,Australia,-28.705,135.449,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
awabakal,Awabakal,awab1243,Awabakal,,Australia,-33.12847,151.43555,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
badimaya,Badimaya,badi1246,Badimaya,,Australia,-29.0647,117.246,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
badjiri,Badjiri,badj1244,Badjiri,,Australia,-27.33,143.0,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
bandjalang,Bandjalang,band1339,Yugambeh-Bandjalang,,Australia,-28.3458,152.859,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
batyala,Batyala,kabi1260,Kabikabi,,Australia,-25.44486229,153.1539929,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
bidyaragungabula,Bidyara-Gungabula,sout2765,"Southern Maric",,,,,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
bilinarra,Bilinarra,bili1250,Bilinara,,Australia,-16.868771,130.533991,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
biri,Biri,biri1256,Biri,,Australia,-20.1494,146.67,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
birrpayi,Birrpayi,birr1241,Birrpayi,,Australia,,,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
bularnu,Bularnu,bula1255,Bularnu,,Australia,-21.02656922,138.1566659,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
bunganditj,Bunganditj,bung1264,Bunganditj,,Australia,-36.5,140.5,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
colac,Colac,cola1237,Colac,,Australia,-38.471266,143.422444,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
darkinyung,Darkinyung,hawk1239,Hawkesbury,,Australia,-33.11470744,150.4952383,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
dhangu,Dhangu,dhan1270,Dhangu,,Australia,-11.9493,135.752,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
dharawal,Dharawal,thur1254,Thurawal,,Australia,-35.2853,147.475,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
dharuk,Dharuk,sydn1236,Sydney,,Australia,-33.52925837,150.3490464,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
dharumbal,Dharumbal,dhar1248,Dharumbal,,Australia,-23.307,150.593,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
dhayyi,Dhayyi,dayi1244,Dayi,,Australia,-13.1806,136.22,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
dhudhuroa,Dhudhuroa,dhud1236,Dhudhuroa,,Australia,-36.95881441,147.0450379,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
dhurga,Dhurga,dhur1239,Dhurga,,Australia,-35.412,150.134,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
dhuwal,Dhuwal,dhuw1249,Dhuwal,,Australia,-12.7825,136.008,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
dhuwala,Dhuwala,,,,,,,,bowernpny,,,,,,,,,,,,,,,,,,,,,
diyari,Diyari,dier1241,Dieri,,Australia,-28.1667,138.0,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
djabugay,Djabugay,dyaa1242,Dyaabugay,,Australia,-16.596,145.388,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
djambarrpuyngu,Djambarrpuyngu,djam1256,Djambarrpuyngu,,Australia,-12.021,135.59,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
djapu,Djapu,djap1238,Djapu,,Australia,-12.879764,136.417978,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
djinang,Djinang,djin1253,Djinang,,Australia,-12.462,134.82,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
durubul,Durubul,,,,,,,,bowernpny,,,,,,,,,,,,,,,,,,,,,
duungidjawu,Duungidjawu,duun1241,Duungidjawu,,Australia,,,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
dyirbal,Dyirbal,dyir1250,Dyirbal,,Australia,-17.4516,145.544,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
flindersisland,"Flinders Island",flin1247,"Flinders Island",,Australia,-14.1812,144.259,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
gairi,Gairi,wadj1255,Wadjigu,,Australia,-23.8029,147.421,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
gamilaraay,Gamilaraay,gami1243,Gamilaraay,,Australia,-29.9037,149.543,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
gangulu,Gangulu,gang1268,Gangulu,,Australia,-22.7637,149.416,Pama-Nyungan,bowernpny,,,,,,,,,,,,,,,,,,,,,
