"","Abkhaz-Adyge","Abun","Afro-Asiatic","Aikanã","Ainu","Ambakich","Amto-Musan","Angan","Anim","Ap Ma","Arafundi","Araucanian","Arawakan","Athabaskan-Eyak-Tlingit","Atlantic-Congo","Austroasiatic","Austronesian","Aymaran","Baining","Bangime","Barbacoan","Basque","Bilua","Bogaya","Bookkeeping","Boran","Border","Bosavi","Bulaka River","Burmeso","Burushaski","Camsá","Cariban","Cayubaba","Chapacuran","Chibchan","Chicham","Chiquitano","Chocoan","Chonan","Chukotko-Kamchatkan","Cofán","Dagan","Damal","Dem","Dibiyaso","Dogon","Doso-Turumsa","Dravidian","Duna","East Bird's Head","East Kutubu","East Strickland","Eastern Trans-Fly","Elamite","Eleman","Elseng","Eskimo-Aleut","Fasu","Geelvink Bay","Goilalan","Greater Kwerba","Guahiboan","Guaicuruan","Haida","Hatam-Mansim","Hmong-Mien","Hruso","Huitotoan","Inanwatan","Indo-European","Itonama","Japonic","Jodi-Saliban","Kaki Ae","Kakua-Nukak","Kamula-Elevala","Kapori","Karok","Kartvelian","Kaure-Narau","Kawesqar","Kayagaric","Kehu","Kibiri","Kiwaian","Koiarian","Kol (Papua New Guinea)","Kolopom","Konda-Yahadian","Koreanic","Kosadle","Kunza","Kuot","Kwalean","Kwaza","Lakes Plain","Lavukaleve","Leco","Left May","Lengua-Mascoy","Lower Sepik-Ramu","Mailuan","Mairasic","Mande","Manubaran","Marori","Matacoan","Mawes","Mayan","Maybrat-Karon","Mixed Language","Molof","Mombum-Koneraw","Mongolic","Mor (Bomberai Peninsula)","Morehead-Wasur","Mosetén-Chimané","Movima","Mpur","Nadahup","Nakh-Daghestanian","Nambiquaran","Namla-Tofanma","Ndu","Nimboranic","Nivkh","North Halmahera","Nubian","Nuclear Torricelli","Nuclear Trans New Guinea","Nuclear-Macro-Je","Odiai","Otomanguean","Páez","Pahoturi","Pama-Nyungan","Pano-Tacanan","Papi","Pauwasi","Pawaia","Peba-Yagua","Piawi","Pidgin","Puelche","Puinave","Pumé","Purari","Pyu","Quechuan","Saharan","Salishan","Sause","Savosavo","Senagi","Sentanic","Sepik","Seri","Sino-Tibetan","Sko","Somahai","Songhay","South Bird's Head Family","Suki-Gogodala","Tabo","Tai-Kadai","Tambora","Tanahmerah","Taulil-Butam","Teberan","Timor-Alor-Pantar","Tor-Orya","Touo","Trumai","Tsimshian","Tucanoan","Tungusic","Tupian","Turama-Kikori","Turkic","Uralic","Uru-Chipaya","Usku","Uto-Aztecan","Wakashan","Walioic","Waorani","West Bird's Head","West Bomberai","Wiru","Yámana","Yale","Yanomamic","Yareban","Yawa-Saweru","Yeniseian","Yetfa","Yuat","Yukaghir","Yuracaré","Zamucoan","Zuni"
"Huitotoan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.047787330473,17330.8197793036,11236.4194488625,1521.15951539942,15371.2764431678,1011.15300611381,15644.7134397353,492.831000786571,16096.9436495125,16396.9935280568,7043.13917160109,12216.2958065766,16358.2120578854,5293.59209252789,16435.3402576406,16800.5924628762,15821.5202300375,15873.9245767866,15405.839265623,15072.3330681203,16453.4190572698,17269.4166753101,15541.909764172,16345.1642710419,2393.04523209276,15105.7479385188,15413.6662551485,1665.26561664896,16611.1757883669,14184.876601287,1559.24563623287,16183.6772713404,2800.88396220253,15891.845922448,15254.3864820604,16998.0957929167,7428.58245985359,15353.7624876134,16176.2339129926,2682.51856384863,16416.4797319586,2840.48539328874,17220.4938358118,7306.56457592726,16311.9415528649,16423.42886068,13555.4113776656,17167.7601015965,16089.810654993,1522.68377235291,1538.85872873331,17164.85194238,416.963670440583,12536.3960292901,1826.09962879811,16302.7324021185,16013.660410456,16354.4256162392,13604.1481344341,17790.8533580262,11402.4125618241,16114.5400630433,15848.6022686121,2681.00365728566,16219.625605621,3606.40618437357,650.76094376625,15965.4749829779,15632.3373885463,1145.23218120094,16134.0606516145,16276.4897727015,15750.2683945596,217.70051057494,15882.2737270299,15474.8286117928,4002.5645205318,842.684525735459,1138.84086217483,15738.4749730033,16243.077873502,635.050861785421,9940.46725050205,7587.40176432114,16418.2931188306,14108.1817108383,16267.3842615661,16334.9963584401,16099.9094095803,5457.02071464637,16916.9220030349,16274.6366729531,16422.4961917312,7916.45092451824,17187.4938164016,16012.8187261675,15911.3919597831,17808.4100391412,18416.8776210026,17136.8380500813,15027.1142713191,15816.973183836,17806.6777005449,16475.6997376454,14391.2707735293,2369.28316200872,7979.41848220028,389.502780093236,14366.6273816127,1848.81983243851,15840.9371697819,12670.4557114117,11403.0705369712,1954.74357563541,16314.3031693384,4521.74635226898,7705.12783299292,16116.0370821304,471.840596967769,17324.6945133095,17190.8208691603,15855.7917365569,5966.33055458475,16194.8151229725,1223.55506625822,15330.9947740806,16809.7599343641,12949.6644098255,16290.3183628079,15929.6144664653,11856.1921780119,1852.63120221744,2358.29644426431,5572.23922844878
"Inanwatan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.5741336399444,10812.1574002907,17648.8914587657,4105.70119430015,17890.7982505909,1729.18335641387,17581.3429533083,1273.3337094452,936.394701301474,11399.319429992,10045.1416038828,974.195572833873,13822.0196749256,963.410125803314,536.872681662436,1551.33084379589,1516.83894344345,1981.05418332942,2260.09802723093,1009.72472477119,81.5812688505798,4383.2366844902,989.407615445329,16495.800466706,2229.1275896838,1982.62354332001,17986.1532538062,721.728244454826,3160.88643801324,17199.9190132939,1152.51847694652,17084.8408547841,1441.22128246336,2140.33931436456,366.035031047503,15282.8778013333,2039.08450133592,1267.34539081443,16912.4432854465,916.781923689339,15112.0099852702,152.61260675957,13238.7121007149,1020.30955125684,1058.55751637571,7977.33503336493,192.236773135931,1344.83729387486,17229.2588283924,17470.948167418,222.652086013607,17654.711235563,9709.39297437787,17952.2001731122,1031.0325169045,1319.91992883458,977.957997056177,6108.02032848128,502.897969376969,11336.3336720855,1217.28127350346,1499.74135355426,17786.4112222158,1113.80696887469,14285.0694446327,16937.3913766781,1466.6851365162,2743.41287159397,17342.0829625633,1203.10588686307,1056.69550696069,1608.00503205091,17331.9416525659,1456.50521163185,1917.39910368681,15510.2085684629,17885.2619142278,17830.7060776271,1632.46343426959,1096.00307923328,16789.9049411603,12796.7198783874,11144.4008064831,913.66654902803,3237.11678035018,1064.99945247219,997.752956466408,1234.2921927226,12636.1952507838,4855.86867927273,1057.86933224198,933.4799587832,14783.9728193508,147.487253371765,1390.41662321094,1483.81045817801,3955.64280010251,1668.08558133113,203.82998914376,2304.49152576952,1540.31649211723,1056.90102391903,858.059998563716,2953.64630419155,18426.1527175764,10841.1750048725,17497.5503092918,5869.86910411521,17864.5206703261,1527.13586993138,9291.34831556701,10155.8819085788,16919.5863196652,1018.95216543724,13548.8513733344,11012.8650965933,1221.0821059674,16879.8006567691,98.3639333865835,204.014121193676,1498.10124979636,13438.1584543277,1138.27844172986,18428.9052776934,2050.22740036776,526.811001871621,8136.65182729269,1045.69533566585,1405.57803941393,7924.67554245552,17283.4963289743,17373.5697552568,12802.2889817257
"Indo-European",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3378.88361000612,11512.1806733482,8199.76452809447,10278.2995740241,12291.1471193737,10801.9938380406,11914.4533620818,11524.187363097,9769.72101947171,2834.96347867046,11538.7785010324,14406.3233657405,11692.8099109675,11248.7223871689,12145.8818537829,12149.303046013,12523.1760558823,12444.2961222958,11766.1968455531,10861.782400491,7608.25124242901,11574.4483288098,12599.7462895097,12264.9483486268,12544.5513859398,11193.9658908161,11353.6672529142,13235.9164286148,11937.448309026,11707.5359673551,11842.4018562297,11881.8699291064,12670.8236553191,11149.8170692897,5623.81948564817,12584.0046103056,11990.7036857374,12071.3026986156,11430.171823041,10928.1250325475,10842.4632121052,5579.83024615225,11569.3166157088,11815.3991249512,4282.30447487396,10993.1060322606,12052.4659442475,11906.6915705227,11682.2912401164,10846.8302787585,10850.5610400383,2951.89175799114,11221.0120186852,11597.6596119552,11803.8039169157,11485.6166366826,7270.65377653275,10357.6922656174,4798.34816437579,11697.4905873195,12009.1786501649,11029.5601441031,11654.5463044566,11135.9253308719,11143.0110401443,12157.5070684658,12921.3978226407,11707.6066102237,11752.4571229472,11608.0474081511,12152.4663342145,11348.0518861263,11951.6905423834,12483.0221118337,13062.4094096937,10424.2931699268,10158.6966454025,12206.6192048588,11683.444941474,11396.8927452806,4934.47011963021,9038.66942784958,11485.7444987827,13284.233519312,11604.0953902912,11492.9591226224,11747.8903607876,10713.0216252194,6258.48880352044,11537.1840286278,11611.3684561902,5241.96735416196,10926.6148578116,12062.2404074867,12130.560665146,7100.67291973099,10369.5494012236,10992.0796145665,12413.9969446757,12096.4162288426,10862.6310089786,11387.1925244215,13084.4865009286,10660.5277950751,8802.84599905989,10978.2573613345,6618.50415102717,11253.915464954,12115.4404193582,3395.9847268353,3288.71847221411,12215.2725136665,11583.2006429283,10735.8864427511,9061.39876814104,11765.2482239103,11479.0829229733,10782.902597596,11002.1259219606,12052.4581042235,14279.118682938,11668.0762129077,10128.3105989435,12566.5283953464,11143.3412226566,4552.22755378827,11627.2388412701,11885.3444712845,6763.57792211692,11865.994474127,11695.7768513563,10013.9993812505
"Itonama",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16890.7422579865,2073.63016464797,15975.8110626295,1760.62934244861,16417.5422097406,16809.6650660504,8558.54330218741,12380.471134986,16783.8691516871,4172.71019095594,16696.3030930591,17155.4050765198,16147.8532965533,16166.2833834294,15719.7181204573,15585.3330088844,16639.7671235148,17593.7420901389,17026.3971383205,16753.7878971767,1236.59786927566,15694.0878180304,15709.8022260256,367.80221458597,17012.8242182275,14649.5059193815,453.043861221222,16595.7157824577,1288.69308267084,16349.3614274859,15557.9928759123,17286.7759131364,6982.77892988598,15657.8834996743,16386.1305745897,1220.0208707562,16882.6997794264,4346.41885688728,17600.9664643337,8322.30909690889,16743.6949646304,16591.0456290033,14270.3046109853,17457.6325329737,16312.395318613,428.458868310991,178.093138958678,17583.7226482536,1608.70854450727,12716.3266166682,442.376738786073,16720.448464888,16456.6492055996,16818.496086153,15079.43110028,18133.3639548757,10748.5394150271,16571.5607039093,16244.7505824937,1386.01543000746,16646.7646495378,5086.81400699283,2166.22536100251,16193.2733545531,15224.6080225186,557.179605103664,16544.3141972479,16702.3740663005,16112.6276996684,1355.6954435672,16301.4292106915,15776.3769168266,2656.8797619907,1898.8977868917,2245.31701143543,16072.1114019778,16636.8633262784,2097.11377840158,9330.18095484369,9104.96346658526,16845.1366043409,14577.3096253253,16701.2105482694,16805.0793962068,16532.2235686079,6948.08352455058,17493.6968282214,16748.8923707375,16755.5747274096,7493.98733045065,17520.6479213319,16279.9761945343,16194.0604826148,18380.5800423704,17679.2947905243,17452.9819325764,15572.5557385307,16178.7184565137,17471.8273802156,16937.0460879685,14852.3832884298,1178.16590552253,9495.73612345587,1651.99846422328,15731.4543329148,629.908928656209,16176.446639675,13042.7772734785,12103.0603400749,761.637641129807,16735.1696708915,6021.05336495268,9223.96933231943,16527.9692573457,1881.21524823067,17674.4323452959,17452.841557135,16224.5793197279,4739.97708429926,16626.9650124134,1796.87134442834,15658.1508553658,17240.4049742218,13958.6236131302,16694.9468902978,16365.5730404509,13290.3787468064,446.649035347618,840.266559388773,7089.46070135292
"Japonic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14953.52395545,4919.43886390382,15156.0502741411,4682.30712051899,4317.66712920568,8348.79515138139,7660.90529270591,4307.42324657055,17143.2720144844,4629.58511484119,4253.3261132671,4825.7643232499,4875.2317184482,5109.3315703988,4801.72971034534,4779.33002102487,4117.29132328533,687.033451807742,4351.90030947149,17356.6431588418,4576.53999688272,5148.5256826244,16968.1812901429,4241.49268648866,5522.09414238521,16847.164790095,4425.22316407707,18164.3217300701,4470.67740325442,5231.93687508601,4295.81535036087,13286.407343224,5166.79175823932,4886.89654205043,17984.9800850649,4189.4218228387,12565.6936815074,4034.56490739009,9556.90165660961,4316.12526633827,4836.22529118448,5021.32087964207,4220.28418537378,4909.30322892812,16819.8430433562,16899.1117384795,3984.12764453266,15308.3908913047,7362.39720157163,17131.8603668116,4352.35429581487,4440.97174283096,4222.88186185705,2009.05486204193,3916.79527960161,10621.9498423703,4355.86105509587,4645.37676368988,17652.0763251953,4372.27359896029,11862.8971311713,14726.9367039539,4971.19800418935,6624.91883156475,16429.5542013998,4454.97225581337,4346.80203051287,4780.81636013921,15539.3244416713,4568.68778210256,5096.53308911819,18410.2002103833,15096.7760816689,14783.5608602151,4857.1985651351,4436.54276242048,14816.3389195236,11733.8589165681,7787.40459411332,4276.092916623,5563.29585321217,4333.23364769672,4218.42840962458,4421.47986833582,10003.2989586669,3586.41361506736,4237.28011189233,4480.01440520909,12836.4341745961,4133.05976750381,4852.55607407508,4876.06623925534,3407.3946060589,5135.84156508947,4184.62112542283,4741.61058403373,4743.6388639308,4946.79129933593,4173.60734479676,5388.88057805217,17314.7953129666,7396.45451414147,15258.2021913687,1971.78040423331,17061.8129843526,4792.55510255346,6673.63724295524,6751.27894702125,17144.4415945577,4339.54992275965,10909.4362193312,7666.81631177025,4460.45355458796,15037.8193889572,4051.89429227972,4261.6411473875,4704.52059239446,17162.2608467026,4373.21839913627,15388.6835482119,5123.47933943996,4095.5547521513,4518.42681815094,4388.07850322628,4502.46504342179,3844.39854330791,17187.3587640072,17728.647289091,9810.71263073789
"Jodi-Saliban",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.079051452738,16355.0850479439,578.527274367225,16786.084470386,17014.4668916786,6831.12579856033,11243.5058166556,16971.7066836348,6141.23614634999,17130.974860315,17411.6164008679,16524.7268202157,16590.9208162888,16136.0120683432,15716.7615765358,17185.1194372378,17836.1757714245,14990.2582511158,16969.2303215994,3181.21103272991,15706.8960363064,16151.9063347933,2039.37421108732,17214.943311152,14887.7659078576,2290.71792919326,16818.4958641423,3314.86166463368,16521.9993427956,15995.9368734491,17623.632822429,6677.69639999904,16090.8680427126,16915.3165042303,3279.69385470112,17001.9070647207,2831.27505255657,17761.2069417774,6471.46075443658,16925.8556476507,17166.393418768,12642.6565650697,17770.2003779664,16827.9889918672,2250.22125491873,2166.44272429191,17690.9264683927,636.588694389432,11560.6444733606,2197.36229905263,16925.2120503308,16643.6817588081,16946.5085498438,13049.5825748895,18236.4266122608,10678.4886908939,16729.6249426105,16512.3035815065,2938.60472205033,16843.4269595455,3658.77756905292,1039.9484682195,16708.4753785561,16561.5174986166,1890.79571395459,16773.4976342019,16896.5248841764,16439.3183466801,1141.15483206574,16533.8632479696,16207.7547072441,4714.93202498217,278.586679249392,286.231668899856,16442.6329749251,16883.3776571963,1257.11916064081,9220.15068084721,7256.72285870168,17025.9800047984,14811.234556557,16883.7343327966,16925.2788394315,16729.6612439281,5404.22860875643,15989.1104038416,16867.588306019,17081.3528873308,7145.3193448541,17761.5772965898,16734.1383280852,16631.0745238895,16903.1760022569,19358.9825893225,17728.3475464645,15655.9427383928,16502.537274044,18652.1932135561,17058.4743819225,15089.1942285737,2465.91063819563,7618.54892230213,766.033368793395,13688.4384405306,2221.697390636,16538.4356841249,11719.613704447,10439.4682362534,2704.22090029117,16934.0970206341,4468.93828726245,7381.50456227843,16755.8539245204,1270.9786697897,17866.9075074361,17806.028502313,16535.4562125219,6765.01012767429,16817.7407347377,582.933403467098,16058.1899337807,17375.9643050217,12049.749408062,16921.016252494,16569.1228233884,11241.8931911812,2495.60206281878,2867.16093819964,5367.31264661623
"Kaki Ae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15949.963607125,459.081637699906,834.333941078199,10682.8632805047,11688.4964555721,810.930423350447,12542.1392715156,791.035595800556,1197.55183509701,178.189070972179,240.582725215357,258.564577083895,708.985164601513,830.863019685392,1667.85090475862,5393.20090162365,778.645137273462,14911.3094422571,837.942964807944,270.108070330065,16332.7970835199,1040.21047322288,1469.1817553482,15522.7673284485,625.210319467951,15696.8352161753,458.914318172009,418.058362543948,1370.25244000808,16998.0102647681,318.343660602405,568.49666820955,15463.9141664385,918.532439363338,13805.9990099126,1649.33529299063,13656.6975689914,773.652957705381,815.771476566437,9416.39238842358,1546.54499654989,486.823485258059,15548.4119568324,15798.6556177539,1618.43793808858,15997.9947996075,11352.1604984659,16332.9754608155,747.387693966385,519.95486585467,857.392143775005,6761.9123470598,2229.49898981677,13019.4711776088,630.504954494559,409.925837846196,16473.6734648378,679.439244010625,13010.6933074059,15332.3363711284,381.354358092363,2208.0450813194,15633.508070673,575.294443701423,732.313683466058,148.227267971463,15626.8079176669,366.84047926175,204.081806459162,14232.4389507758,16301.8605352273,16349.6032515523,97.0357418683428,661.453894059458,15151.7216669516,14482.0246428303,10648.2800086408,871.073019933204,1545.93551950794,733.784174514633,848.040018272191,577.025963473995,11594.4438273587,6472.91208999937,799.422417087438,795.922023090752,16506.3937147757,1586.84177069267,379.715750542691,276.992875603079,5605.70580316415,3064.91560380545,1525.56736215918,799.291933032784,207.146615849664,2318.06024153623,968.759126128478,1266.24782564167,16960.5903006337,10431.9188506835,15838.5273616696,6840.70260608204,16250.5248307201,202.545258005226,10828.9083588876,11486.6958550154,15288.7404855752,762.435503599338,12430.7668136733,10518.1970425195,560.652016072032,15212.5815343197,1739.51179026965,1561.13841097659,253.91010491568,12319.2169047926,663.058759710893,16822.3907380126,321.313443782644,1265.45907458213,9344.17968360693,720.074652967653,437.616622591668,8427.90419066821,15656.9925405924,15874.2533920121,11930.1461029944
"Kakua-Nukak",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.431154703457,16394.3439910749,16663.4348997396,6890.99900517367,11778.5513707234,16622.5745590142,5700.94229354773,16737.5576042856,17067.387896273,16124.1375859364,16183.1897523087,15719.5715199607,15344.4803835458,16772.21605636,17521.9654336049,15266.7129458734,16614.2383591957,2764.37919354753,15357.7456233466,15731.2443685157,1818.06285620296,16873.0968111259,14482.2025367579,1892.70134370024,16456.612729969,3045.77420838337,16160.9812085431,15573.0542251319,17273.2619024768,7110.55425052507,15670.6159827098,16497.0724802812,2965.68215136149,16668.546503499,2748.70457060203,17460.9373626669,6897.39055133434,16576.1746466166,16747.236774929,13129.6305911329,17434.6242977013,16409.8616732863,1853.40099394413,1817.96652023106,17398.0851955679,169.186949200836,12096.4784622826,1982.88958445771,16570.799301733,16283.4013411656,16609.0448714327,13320.2092402164,18000.8090956968,11103.1668245352,16378.0314966323,16133.1895163504,2800.58586672425,16487.75333498,3554.01941533142,657.095789322921,16287.2479183831,16052.1609270111,1477.58757883658,16408.8117147325,16543.2701231297,16045.9883777197,623.463137588287,16161.2418021002,15790.0885513452,4347.98752100272,420.229914058168,690.286554012874,16041.1899646947,16518.8817948489,808.627798644061,9641.19380031116,7384.72463874457,16680.4525411524,14405.4064419017,16532.425991121,16588.6599457934,16370.0330919923,5369.63994860097,16484.2558675825,16529.0812714832,16707.8952006487,7588.99495709199,17442.1592941309,16324.6901599746,16222.0642787213,17386.4598248832,18841.5787011675,17398.5233797724,15291.7662806381,16111.3643575198,18185.4055776318,16727.0367457424,14686.7167920602,2408.30300667361,7764.79091525174,293.169442584162,14031.160205257,2006.05282431895,16140.981553048,12236.2143030697,10953.7303942296,2303.2301010198,16581.2259396948,4427.50953651232,7505.93001433347,16390.8567424074,770.368427452892,17567.3197671843,17463.5733511748,16147.6215326301,6354.49477600214,16462.3861812776,883.736571798814,15643.0747290015,17056.629157709,12519.7927985503,16562.0446503203,16203.2562711896,11541.8910571395,2146.47806338772,2594.6942056458,5416.70425169237
"Kamula-Elevala",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.359033916969,414.132742651504,10896.8292381682,11261.852723613,404.605965075901,12876.9577050469,350.334033587528,744.633067945587,282.391059514996,258.726394027166,709.821405116357,1080.14210221298,435.20868097305,1212.19397204776,5112.94709102858,363.479840843903,15330.2739013646,1135.06380417589,712.59304041328,16771.1499001983,601.866865965448,1915.3318902423,15964.7113311344,260.648604140097,16075.2345613264,378.440538267138,869.076815697259,914.159291797527,16543.2931580271,767.933893444382,276.090734873228,15854.1827738683,525.201790241184,14179.2710304681,1196.64167376613,13586.1471498639,381.424462130357,443.564598929811,9042.19475579673,1090.28229603961,260.388804081321,15991.2625168329,16239.8976901271,1169.27531710991,16446.3880417734,10925.4392078261,16764.3613178112,347.026179524973,310.04608607062,476.215493744771,6584.36924157379,1774.16846595917,12570.945333497,347.381993975947,448.966782517927,16850.8216194372,313.04926716759,13373.3250141446,15771.0991938692,293.393019222714,2220.78426955656,16083.9100680995,237.53996764553,345.123080137115,354.246076005088,16081.6553170923,308.450484582679,646.804682612333,14575.0434913461,16739.9718774748,16771.5503798195,363.910311649082,256.190688735636,15595.860336163,14033.5447681184,10804.8261485708,455.899374465854,1992.11322912955,355.726193662363,475.929451436538,289.490647160927,11895.4151999538,6047.59696124017,448.454152889159,342.534220908759,16049.8679764424,1131.56111515059,184.290244845823,228.956479260033,5170.98058750613,2650.26763149205,1069.71438362719,1151.34807133212,291.771124579097,1906.36465419614,563.704770546831,1710.0874790514,17367.7372888397,10564.3415597287,16287.0003998449,6581.36376160646,16680.4597587553,261.963861578005,10430.2887297327,11151.0517071134,15719.4751960364,361.756211513536,12753.8032260641,10673.5736144654,237.302143777869,15661.6008018918,1284.82465655003,1105.15987738206,262.342469079756,12611.189363448,312.073507542865,17266.0400571537,778.608263463121,824.850329715053,9035.86096823934,312.445774707672,316.580086634155,8302.87139949599,16087.6548679173,16278.1889390976,12190.8785985955
"Kapori",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10854.2839024123,10857.7058646597,44.1944317003244,13284.1106391051,339.918632062534,404.658197710198,665.470026598766,663.440654681679,1090.81091688959,1324.89939386439,505.570684896702,874.187683183147,4726.4926619854,55.9789314715147,15738.7535269915,1309.15082700919,1102.16971944561,17167.1097163196,220.331360286601,2227.1321704322,16356.6376184308,219.266632300748,16488.7166014418,506.070873269316,1252.07659544215,611.682668162483,16212.4759463588,1152.60134474616,570.497674557876,16267.2478262391,128.863936113237,14316.0584666749,837.865524611374,13334.0417224942,88.7028936671608,555.438279970873,8633.58901605749,772.842686491707,605.025644544908,16382.018571182,16632.6502100601,796.602531284436,16728.5424498419,10521.3091608779,17166.4163641031,94.7626781397007,384.233500953315,117.508239815115,6247.50543110973,1423.77865527704,12272.3317701103,286.097099634873,629.409348279965,17250.8022157003,177.49317489661,13498.1816235551,16025.9926471304,690.238568225489,2489.09942681024,16455.799551857,270.610126053311,122.111967804381,697.439323695005,16395.9185326176,523.414789829115,1035.52881914052,14983.271710688,16987.5476159106,16978.9801843818,738.572072046339,172.884008066544,15867.0710940319,13732.8543997265,10706.8174820657,43.0154850684635,2303.10058570515,131.220284092553,137.217338706479,299.149471121375,11944.9554142409,5649.09137862613,169.081153187747,178.004776560465,15710.5268109485,791.914087345299,579.71794512032,641.861041106619,4779.92017739161,2466.03351218166,740.104750726937,1372.91373863313,631.026099157269,1744.47608150067,156.132533685198,2019.84091355174,17780.2563076727,10444.7583660644,16570.5392355412,6203.1164589744,17072.4646138312,635.410522324379,10028.1280641721,10744.7269552544,16121.829333618,82.7088342271205,12828.5736396591,10574.6901569184,288.331622567279,15949.1678736053,936.284694734412,801.421787381618,585.375655774397,13005.1757164208,202.222823349019,17526.5758999077,1151.6052442344,435.767704686752,8635.19408591734,114.946027649685,469.730689346412,7993.57976246637,16490.1172177929,16690.9203592661,12192.7133332999
